n_mels,groups,params,flops,test_acc,train_loss,epoch_time
20,1,43522,2693376.0,0.9805825242718447,0.09546820158138872,7.256425857543945
40,1,44162,2822656.0,0.9781553398058253,0.09760384771972895,8.15340280532837
80,1,45442,3081216.0,0.9733009708737864,0.09675553350709379,7.478614091873169
40,2,27266,1590784.0,0.9757281553398058,0.10346947897225618,7.282919883728027
40,4,18818,974848.0,0.9672330097087378,0.09923167383298277,6.87393593788147
40,8,14594,666880.0,0.970873786407767,0.11691343821585179,7.566807746887207
40,16,12482,512896.0,0.970873786407767,0.13761273641139268,8.495930194854736
